area__rucc,area__urban_influence,demo__birth_rate_per_1k,demo__death_rate_per_1k,demo__pct_adults_bachelors_or_higher,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_aged_65_years_and_older,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_below_18_years_of_age,demo__pct_female,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_excessive_drinking,health__pct_low_birthweight,health__pct_physical_inacticity,health__pop_per_dentist,health__pop_per_primary_care_physician,heart_disease_mortality_per_100k,row_id,yr
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",10.0,14.0,0.17131474103585656,0.0946215139442231,0.4352589641434263,0.29880478087649404,0.19899999999999998,0.013999999999999999,0.006999999999999999,0.218,0.496,0.016,0.0,0.956,Manufacturing-dependent,0.522,0.053,0.114,0.044000000000000004,11.0,17.77,0.273,0.19899999999999998,0.105,0.256,0.078,0.23199999999999998,2609.0,1620.0,287,42,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,11.0,11.0,0.19539078156312625,0.12625250501002006,0.3416833667334669,0.3366733466933868,0.16899999999999998,0.003,0.009000000000000001,0.228,0.516,0.08199999999999999,0.188,0.703,Nonspecialized,0.46399999999999997,0.053,0.145,0.043,12.0,11.42,0.38,0.192,0.114,0.20800000000000002,0.10400000000000001,0.266,1570.0,1170.0,269,43,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,14.0,9.0,0.12185297079556898,0.1782477341389728,0.4441087613293052,0.2557905337361531,0.129,0.001,0.0,0.28300000000000003,0.494,0.03,0.009000000000000001,0.9470000000000001,Nonspecialized,0.43799999999999994,0.06,0.19899999999999998,0.05,13.0,26.12,0.36200000000000004,0.273,0.11699999999999999,0.147,0.086,0.307,3529.0,1879.0,315,46,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,14.0,13.0,0.1208791208791209,0.2067932067932068,0.4235764235764236,0.2487512487512488,0.168,0.01,0.006,0.247,0.511,0.017,0.01,0.941,Nonspecialized,0.41700000000000004,0.08199999999999999,0.21899999999999997,0.055,14.0,26.79,0.309,0.27899999999999997,0.11599999999999999,0.147,0.085,0.33,3859.0,2330.0,324,51,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",12.0,15.0,0.12673267326732673,0.17227722772277226,0.4297029702970297,0.2712871287128713,0.19699999999999998,0.0,0.009000000000000001,0.22699999999999998,0.518,0.011000000000000001,0.012,0.97,Nonspecialized,0.423,0.064,0.26899999999999996,0.06,13.0,38.48,0.376,0.166,0.11800000000000001,0.147,0.08800000000000001,0.32799999999999996,4409.0,2859.0,345,52,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",9.0,11.0,0.2453201970443349,0.08965517241379309,0.33300492610837434,0.33201970443349754,0.215,0.009000000000000001,0.011000000000000001,0.21600000000000003,0.514,0.031,0.002,0.93,Nonspecialized,0.457,0.054000000000000006,0.27899999999999997,0.126,11.0,20.24,0.20199999999999999,0.19399999999999998,0.062,0.183,0.06,0.19399999999999998,2159.0,1440.0,199,55,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,14.0,8.0,0.19203980099502485,0.1253731343283582,0.3402985074626865,0.34228855721393026,0.114,0.008,0.013999999999999999,0.267,0.51,0.027999999999999997,0.062,0.882,Nonspecialized,0.45399999999999996,0.055999999999999994,0.21899999999999997,0.055999999999999994,12.0,24.24,0.302,0.20600000000000002,0.107,0.158,0.08199999999999999,0.29100000000000004,3910.0,5770.0,313,57,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",11.0,13.0,0.21442885771543085,0.07915831663326653,0.3627254509018036,0.34368737474949895,0.207,0.003,0.002,0.222,0.508,0.021,0.0,0.953,Manufacturing-dependent,0.601,0.04,0.11599999999999999,0.053,8.0,21.68,0.337,0.18100000000000002,0.091,0.12,0.073,0.287,7269.0,2450.0,243,58,b
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,12.0,14.0,0.25149700598802394,0.10479041916167664,0.2944111776447106,0.3493013972055888,0.24,0.015,0.003,0.203,0.499,0.113,0.0,0.847,Mining-dependent,0.43200000000000005,0.043,0.259,0.154,10.0,21.12,0.268,0.223,0.11199999999999999,0.184,0.073,0.24600000000000002,2400.0,1919.0,250,61,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",8.0,7.0,0.0990990990990991,0.2742742742742743,0.3843843843843844,0.24224224224224225,0.124,0.009000000000000001,0.002,0.19699999999999998,0.405,0.047,0.612,0.32799999999999996,Farm-dependent,0.331,0.055,0.292,0.10400000000000001,12.0,14.82,0.32799999999999996,0.205,0.121,0.147,0.138,0.287,3259.0,3249.0,378,63,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,9.0,10.0,0.08040201005025126,0.2693467336683417,0.3809045226130653,0.2693467336683417,0.183,0.005,0.001,0.193,0.501,0.023,0.3,0.655,Manufacturing-dependent,0.41100000000000003,0.067,0.204,0.057,13.0,24.31,0.364,0.306,0.156,0.147,0.113,0.32299999999999995,1609.0,1350.0,300,64,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,11.0,11.0,0.2086693548387097,0.07258064516129033,0.3497983870967742,0.36895161290322587,0.188,0.0,0.004,0.21899999999999997,0.503,0.009000000000000001,0.009000000000000001,0.965,Nonspecialized,0.547,0.04,0.09699999999999999,0.064,12.0,12.44,0.264,0.13,0.086,0.21600000000000003,0.057999999999999996,0.239,2080.0,1560.0,175,65,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,11.0,6.0,0.34317718940936864,0.08350305498981671,0.2708757637474542,0.3024439918533605,0.096,0.001,0.05,0.28300000000000003,0.502,0.158,0.111,0.665,Nonspecialized,0.512,0.07,0.138,0.028999999999999998,13.0,8.31,0.322,0.182,0.106,0.233,0.086,0.235,2079.0,1990.0,255,67,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",7.0,11.0,0.18227091633466136,0.16832669322709165,0.3954183266932271,0.2539840637450199,0.254,0.006999999999999999,0.0,0.272,0.48700000000000004,0.086,0.0,0.895,Farm-dependent,0.318,0.057,0.252,0.17300000000000001,11.0,14.82,0.252,0.205,0.095,0.147,0.08199999999999999,0.228,1609.0,1350.0,275,68,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",9.0,10.0,0.2797619047619047,0.12202380952380952,0.26686507936507936,0.3313492063492064,0.244,0.027000000000000003,0.005,0.183,0.513,0.301,0.001,0.657,Recreation,0.441,0.057999999999999996,0.327,0.125,9.0,17.85,0.23,0.21899999999999997,0.081,0.18100000000000002,0.098,0.222,2910.0,1569.0,185,70,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,12.0,15.0,0.16954314720812186,0.15634517766497466,0.2964467005076142,0.3776649746192893,0.255,0.168,0.011000000000000001,0.198,0.495,0.175,0.002,0.639,Recreation,0.397,0.08199999999999999,0.23199999999999998,0.157,10.0,25.83,0.273,0.25,0.11800000000000001,0.145,0.085,0.256,1759.0,1709.0,249,71,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,7.0,12.0,0.14469772051536176,0.08225966303270567,0.3280475718533202,0.44499504459861255,0.267,0.01,0.003,0.177,0.499,0.035,0.0,0.9209999999999999,Nonspecialized,0.321,0.09699999999999999,0.214,0.09,10.0,14.82,0.315,0.159,0.12300000000000001,0.18100000000000002,0.08199999999999999,0.226,2019.0,1350.0,233,73,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,10.0,10.0,0.10625620655412114,0.24131082423038724,0.3147964250248262,0.33763654419066536,0.171,0.027000000000000003,0.0,0.22,0.498,0.003,0.597,0.35600000000000004,Nonspecialized,0.368,0.107,0.298,0.099,13.0,16.47,0.364,0.268,0.157,0.147,0.15,0.317,5139.0,1350.0,314,76,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",13.0,13.0,0.218,0.114,0.381,0.287,0.20199999999999999,0.02,0.002,0.226,0.515,0.076,0.003,0.878,Mining-dependent,0.5670000000000001,0.043,0.213,0.121,10.0,14.82,0.32299999999999995,0.203,0.122,0.147,0.053,0.342,1390.0,819.0,307,77,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",9.0,13.0,0.0805168986083499,0.22266401590457255,0.4025844930417496,0.294234592445328,0.214,0.005,0.002,0.195,0.466,0.027000000000000003,0.087,0.8540000000000001,Federal/State government-dependent,0.342,0.064,0.242,0.09699999999999999,12.0,47.4,0.355,0.306,0.155,0.079,0.08,0.337,3979.0,5369.0,294,78,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",14.0,11.0,0.162109375,0.2412109375,0.359375,0.2373046875,0.131,0.006,0.0,0.22699999999999998,0.498,0.006,0.852,0.14300000000000002,Nonspecialized,0.29600000000000004,0.151,0.273,0.084,11.0,22.59,0.444,0.18100000000000002,0.192,0.085,0.177,0.361,1609.0,3809.0,383,79,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,9.0,13.0,0.10901883052527253,0.2537165510406343,0.35480673934588697,0.2824578790882061,0.168,0.0,0.005,0.209,0.493,0.009000000000000001,0.005,0.981,Mining-dependent,0.35100000000000003,0.092,0.19,0.084,13.0,18.65,0.289,0.319,0.126,0.147,0.085,0.297,16109.0,3140.0,310,80,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,16.0,6.0,0.2279635258358663,0.19250253292806485,0.2553191489361702,0.3242147922998987,0.13,0.02,0.009000000000000001,0.271,0.505,0.396,0.02,0.5479999999999999,Farm-dependent,0.413,0.049,0.318,0.095,9.0,18.57,0.27399999999999997,0.231,0.07200000000000001,0.132,0.083,0.28600000000000003,3580.0,1569.0,280,82,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",10.0,14.0,0.14068825910931174,0.16700404858299595,0.4311740890688259,0.2611336032388664,0.187,0.002,0.008,0.24100000000000002,0.512,0.021,0.308,0.638,Manufacturing-dependent,0.419,0.059000000000000004,0.25,0.051,11.0,32.42,0.35,0.34600000000000003,0.151,0.147,0.091,0.33899999999999997,9080.0,3000.0,360,83,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",8.0,12.0,0.20326864147088866,0.08171603677221655,0.390194075587334,0.3248212461695608,0.22899999999999998,0.01,0.008,0.2,0.504,0.019,0.016,0.9520000000000001,Recreation,0.521,0.051,0.149,0.057,11.0,29.53,0.301,0.23,0.10800000000000001,0.25,0.078,0.251,3130.0,979.0,276,85,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",11.0,11.0,0.10189810189810188,0.2557442557442557,0.3766233766233766,0.2657342657342657,0.156,0.009000000000000001,0.0,0.19699999999999998,0.41100000000000003,0.09699999999999999,0.34700000000000003,0.547,Federal/State government-dependent,0.331,0.076,0.25,0.107,12.0,31.48,0.373,0.21100000000000002,0.138,0.111,0.098,0.332,8850.0,7329.0,296,86,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,12.0,9.0,0.2841365461847389,0.11244979919678716,0.32028112449799195,0.2831325301204819,0.139,0.006,0.037000000000000005,0.21899999999999997,0.523,0.049,0.24600000000000002,0.6579999999999999,Nonspecialized,0.495,0.064,0.177,0.051,12.0,14.17,0.33899999999999997,0.188,0.11,0.139,0.092,0.276,1289.0,1300.0,316,87,a
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,14.0,6.0,0.1468253968253968,0.12202380952380952,0.3065476190476191,0.4246031746031746,0.073,0.016,0.016,0.27,0.514,0.168,0.155,0.616,Federal/State government-dependent,0.335,0.06,0.233,0.102,9.0,13.6,0.293,0.162,0.08900000000000001,0.147,0.081,0.258,5919.0,5460.0,285,90,b
"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,11.0,10.0,0.2664670658682634,0.13273453093812373,0.3373253493013971,0.26347305389221554,0.15,0.011000000000000001,0.03,0.214,0.48200000000000004,0.027000000000000003,0.023,0.887,Federal/State government-dependent,0.436,0.065,0.213,0.086,10.0,20.12,0.32899999999999996,0.258,0.099,0.153,0.075,0.254,2659.0,999.0,319,94,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,11.0,8.0,0.23647294589178355,0.07715430861723446,0.3597194388777555,0.32665330661322645,0.145,0.004,0.0,0.244,0.486,0.03,0.003,0.946,Federal/State government-dependent,0.506,0.037000000000000005,0.10099999999999999,0.044000000000000004,9.0,18.88,0.289,0.284,0.09,0.225,0.081,0.273,2479.0,1640.0,272,95,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",8.0,14.0,0.0991983967935872,0.2995991983967936,0.3496993987975952,0.2515030060120241,0.18600000000000003,0.009000000000000001,0.0,0.183,0.478,0.006,0.037000000000000005,0.9490000000000001,Mining-dependent,0.326,0.11199999999999999,0.187,0.065,13.0,36.69,0.289,0.295,0.12,0.147,0.1,0.278,5890.0,2980.0,343,96,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,14.0,9.0,0.23980099502487565,0.0746268656716418,0.3313432835820896,0.3542288557213931,0.18100000000000002,0.0,0.0,0.24100000000000002,0.511,0.045,0.006999999999999999,0.937,Manufacturing-dependent,0.5920000000000001,0.027000000000000003,0.132,0.064,12.0,14.82,0.301,0.16699999999999998,0.083,0.17,0.059000000000000004,0.257,3279.0,3290.0,228,97,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",15.0,5.0,0.0779220779220779,0.19180819180819175,0.3696303696303696,0.3606393606393606,0.132,0.055999999999999994,0.003,0.27,0.486,0.23800000000000002,0.004,0.6920000000000001,Mining-dependent,0.561,0.066,0.223,0.156,13.0,36.99,0.299,0.174,0.073,0.162,0.075,0.212,6030.0,5940.0,284,98,a
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,9.0,11.0,0.29,0.09300000000000001,0.34299999999999997,0.27399999999999997,0.184,0.0,0.005,0.182,0.511,0.015,0.0,0.96,Recreation,0.526,0.045,0.094,0.039,11.0,11.3,0.28800000000000003,0.182,0.09699999999999999,0.16699999999999998,0.057999999999999996,0.212,1400.0,1259.0,253,101,a
